"sample.id","iguana.id","unique.id","sample.type","species","site","sex","tourism.level","visited","year","date","month","repro_month","repro_score","svl","tail","mass","glucose","progesterone","testosterone","e2","corticosterone","bacterial.killing.ability","glycerol","true.triglycerides","droms","antioxidants.index"
"L25","75","75LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",29.8,"41.4","1070",147,NA,"7.094",NA,9.987,14.88203267,42.68032437,70.24450891,5.572167707,320.4
"L24","74","74LC","sample","figginsi","LC","F","high","visited",2016,"6/22/2016","june","late","NRF",32.5,"42.9","1250",160,0.954,"0.18",0.736,5.803,34.18027828,70.63593683,74.01574803,8.038537021,314.4
"L23","44","44LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",32.2,"46.5","1430",172,NA,"0.077",NA,6.274,25.892317,33.93085787,70.6174886,9.340231936,278.4
"L22","73","73LC","sample","figginsi","LC","F","high","visited",2016,"6/22/2016","june","late","NRF",23.5,"36","550",159,0.954,"0.387",0.427,7.41,26.86025408,47.37516005,48.77745545,5.366636931,302.4
"L20","72","72LC","sample","figginsi","LC","F","high","visited",2016,"6/22/2016","june","late","NRF",24.2,"37.7","690",176,0.075,"0.26",0.274,7.143,17.54385965,67.93171558,69.85899547,9.739875112,301.2
"L19","71","71LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",29.5,"43.3","1180",158,NA,"0.084",NA,3.956,42.04476709,413.8795987,227.3848684,NA,NA
"L17","70","70LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",30.1,"43.5","1170",151,NA,"0.073",NA,2.276,33.33333333,17.56489842,52.18196789,5.012667261,321.6
"L16","69","69LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",31.2,"44.6","1220",172,NA,"0.102",NA,NA,30.30852995,73.43397291,64.88009469,8.129884032,319.2
"L15","68","68LC","sample","figginsi","LC","F","high","visited",2016,"6/22/2016","june","late","NRF",30.7,"45.7","1075",148,1.209,"0.305",0.458,NA,47.06594071,451.0869565,57.27208647,NA,297.84689
"L12","67","67LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",33,"44","1520",149,NA,"0.919",NA,NA,49.54627949,103.6963883,138.9074722,13.67921499,312
"G5","11B","11BFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"6/25/2016","june","late","NRF",22.5,"29.3","415",147,0.875,"0.45",0.811,28.028,6.817467798,22.79635258,28.02402059,2.061824953,319.2
"G4","103A","103AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"6/25/2016","june","late","M",26.6,"35.5","705",160,NA,"0.079",NA,44.306,5.120955074,41.46765089,30.91935945,1.489757914,320.4
"G3","114A","114AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"6/25/2016","june","late","M",20.5,"26.5","370",126,NA,"0.089",NA,33.333,6.817467798,8.250108554,22.94824135,2.395530726,318
